trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate
int_1.bz2,16,6,16,4,5440,27.514
int_2.bz2,16,6,16,4,5440,1.181
mm_1.bz2,16,6,16,4,5440,23.451
mm_2.bz2,16,6,16,4,5440,31.732
fp_1.bz2,16,6,16,6,7616,1.863
fp_2.bz2,16,6,16,6,7616,21.642
int_1.bz2,16,6,16,6,7616,27.331
int_2.bz2,16,6,16,6,7616,1.174
mm_1.bz2,16,6,16,6,7616,23.172
mm_2.bz2,16,6,16,6,7616,31.096
fp_1.bz2,16,6,16,8,9792,1.782
fp_2.bz2,16,6,16,8,9792,21.642
int_1.bz2,16,6,16,8,9792,26.899
int_2.bz2,16,6,16,8,9792,1.155
mm_1.bz2,16,6,16,8,9792,22.575
mm_2.bz2,16,6,16,8,9792,30.654
fp_1.bz2,16,6,16,10,11968,1.782
fp_2.bz2,16,6,16,10,11968,21.273
int_1.bz2,16,6,16,10,11968,26.851
int_2.bz2,16,6,16,10,11968,1.143
mm_1.bz2,16,6,16,10,11968,21.729
mm_2.bz2,16,6,16,10,11968,30.795
fp_1.bz2,16,6,16,12,14144,1.782
fp_2.bz2,16,6,16,12,14144,21.272
int_1.bz2,16,6,16,12,14144,26.355
int_2.bz2,16,6,16,12,14144,1.143
mm_1.bz2,16,6,16,12,14144,20.849
mm_2.bz2,16,6,16,12,14144,30.934
fp_1.bz2,16,8,4,4,21760,0.920
fp_2.bz2,16,8,4,4,21760,2.174
int_1.bz2,16,8,4,4,21760,12.183
int_2.bz2,16,8,4,4,21760,0.387
mm_1.bz2,16,8,4,4,21760,4.809
mm_2.bz2,16,8,4,4,21760,8.003
fp_1.bz2,16,8,4,6,30464,0.830
fp_2.bz2,16,8,4,6,30464,0.985
int_1.bz2,16,8,4,6,30464,10.127
int_2.bz2,16,8,4,6,30464,0.355
mm_1.bz2,16,8,4,6,30464,3.750
mm_2.bz2,16,8,4,6,30464,7.627
fp_1.bz2,16,8,4,8,39168,0.830
fp_2.bz2,16,8,4,8,39168,0.977
int_1.bz2,16,8,4,8,39168,10.044
int_2.bz2,16,8,4,8,39168,0.355
mm_1.bz2,16,8,4,8,39168,3.763
mm_2.bz2,16,8,4,8,39168,7.626
fp_1.bz2,16,8,4,10,47872,0.830
fp_2.bz2,16,8,4,10,47872,0.977
int_1.bz2,16,8,4,10,47872,10.044
int_2.bz2,16,8,4,10,47872,0.355
mm_1.bz2,16,8,4,10,47872,3.763
mm_2.bz2,16,8,4,10,47872,7.626
fp_1.bz2,16,8,4,12,56576,0.830
fp_2.bz2,16,8,4,12,56576,0.977
int_1.bz2,16,8,4,12,56576,10.044
int_2.bz2,16,8,4,12,56576,0.355
mm_1.bz2,16,8,4,12,56576,3.763
mm_2.bz2,16,8,4,12,56576,7.626
fp_1.bz2,16,8,6,4,21760,1.422
fp_2.bz2,16,8,6,4,21760,8.904
int_1.bz2,16,8,6,4,21760,15.212
int_2.bz2,16,8,6,4,21760,0.576
mm_1.bz2,16,8,6,4,21760,7.357
mm_2.bz2,16,8,6,4,21760,11.608
fp_1.bz2,16,8,6,6,30464,0.849
fp_2.bz2,16,8,6,6,30464,1.950
int_1.bz2,16,8,6,6,30464,11.358
int_2.bz2,16,8,6,6,30464,0.403
mm_1.bz2,16,8,6,6,30464,4.530
mm_2.bz2,16,8,6,6,30464,8.880
fp_1.bz2,16,8,6,8,39168,0.848
fp_2.bz2,16,8,6,8,39168,1.022
int_1.bz2,16,8,6,8,39168,9.892
int_2.bz2,16,8,6,8,39168,0.389
mm_1.bz2,16,8,6,8,39168,3.747
mm_2.bz2,16,8,6,8,39168,8.704
fp_1.bz2,16,8,6,10,47872,0.848
fp_2.bz2,16,8,6,10,47872,1.022
int_1.bz2,16,8,6,10,47872,9.881
int_2.bz2,16,8,6,10,47872,0.389
mm_1.bz2,16,8,6,10,47872,3.748
mm_2.bz2,16,8,6,10,47872,8.704
fp_1.bz2,16,8,6,12,56576,0.848
fp_2.bz2,16,8,6,12,56576,1.022
int_1.bz2,16,8,6,12,56576,9.881
int_2.bz2,16,8,6,12,56576,0.389
mm_1.bz2,16,8,6,12,56576,3.748
mm_2.bz2,16,8,6,12,56576,8.704
fp_1.bz2,16,8,8,4,21760,1.422
fp_2.bz2,16,8,8,4,21760,20.163
int_1.bz2,16,8,8,4,21760,19.839
int_2.bz2,16,8,8,4,21760,0.777
mm_1.bz2,16,8,8,4,21760,13.542
mm_2.bz2,16,8,8,4,21760,18.131
fp_1.bz2,16,8,8,6,30464,1.338
fp_2.bz2,16,8,8,6,30464,7.998
int_1.bz2,16,8,8,6,30464,15.040
int_2.bz2,16,8,8,6,30464,0.589
mm_1.bz2,16,8,8,6,30464,7.426
mm_2.bz2,16,8,8,6,30464,13.427
fp_1.bz2,16,8,8,8,39168,0.915
fp_2.bz2,16,8,8,8,39168,1.985
int_1.bz2,16,8,8,8,39168,11.566
int_2.bz2,16,8,8,8,39168,0.503
mm_1.bz2,16,8,8,8,39168,4.623
mm_2.bz2,16,8,8,8,39168,10.946
fp_1.bz2,16,8,8,10,47872,0.915
fp_2.bz2,16,8,8,10,47872,1.162
int_1.bz2,16,8,8,10,47872,10.528
int_2.bz2,16,8,8,10,47872,0.504
mm_1.bz2,16,8,8,10,47872,4.054
mm_2.bz2,16,8,8,10,47872,10.867
fp_1.bz2,16,8,8,12,56576,0.915
fp_2.bz2,16,8,8,12,56576,1.162
int_1.bz2,16,8,8,12,56576,10.528
int_2.bz2,16,8,8,12,56576,0.504
mm_1.bz2,16,8,8,12,56576,4.054
mm_2.bz2,16,8,8,12,56576,10.867
fp_1.bz2,16,8,10,4,21760,1.422
fp_2.bz2,16,8,10,4,21760,20.163
int_1.bz2,16,8,10,4,21760,19.857
int_2.bz2,16,8,10,4,21760,0.803
mm_1.bz2,16,8,10,4,21760,13.547
mm_2.bz2,16,8,10,4,21760,22.629
fp_1.bz2,16,8,10,6,30464,1.338
fp_2.bz2,16,8,10,6,30464,20.163
int_1.bz2,16,8,10,6,30464,19.662
int_2.bz2,16,8,10,6,30464,0.790
mm_1.bz2,16,8,10,6,30464,13.262
mm_2.bz2,16,8,10,6,30464,20.305
fp_1.bz2,16,8,10,8,39168,1.338
fp_2.bz2,16,8,10,8,39168,8.066
int_1.bz2,16,8,10,8,39168,15.238
int_2.bz2,16,8,10,8,39168,0.662
mm_1.bz2,16,8,10,8,39168,7.924
mm_2.bz2,16,8,10,8,39168,16.191
fp_1.bz2,16,8,10,10,47872,1.094
fp_2.bz2,16,8,10,10,47872,2.187
int_1.bz2,16,8,10,10,47872,12.359
int_2.bz2,16,8,10,10,47872,0.631
mm_1.bz2,16,8,10,10,47872,5.320
mm_2.bz2,16,8,10,10,47872,14.436
fp_1.bz2,16,8,10,12,56576,1.094
fp_2.bz2,16,8,10,12,56576,1.550
int_1.bz2,16,8,10,12,56576,11.664
int_2.bz2,16,8,10,12,56576,0.631
mm_1.bz2,16,8,10,12,56576,4.893
mm_2.bz2,16,8,10,12,56576,14.413
fp_1.bz2,16,8,12,4,21760,1.422
fp_2.bz2,16,8,12,4,21760,20.163
int_1.bz2,16,8,12,4,21760,19.857
int_2.bz2,16,8,12,4,21760,0.803
mm_1.bz2,16,8,12,4,21760,13.547
mm_2.bz2,16,8,12,4,21760,22.986
fp_1.bz2,16,8,12,6,30464,1.338
fp_2.bz2,16,8,12,6,30464,20.163
int_1.bz2,16,8,12,6,30464,19.662
int_2.bz2,16,8,12,6,30464,0.792
mm_1.bz2,16,8,12,6,30464,13.262
mm_2.bz2,16,8,12,6,30464,22.354
fp_1.bz2,16,8,12,8,39168,1.338
fp_2.bz2,16,8,12,8,39168,20.163
int_1.bz2,16,8,12,8,39168,19.297
int_2.bz2,16,8,12,8,39168,0.776
mm_1.bz2,16,8,12,8,39168,12.691
mm_2.bz2,16,8,12,8,39168,21.653
fp_1.bz2,16,8,12,10,47872,1.338
fp_2.bz2,16,8,12,10,47872,8.339
int_1.bz2,16,8,12,10,47872,15.996
int_2.bz2,16,8,12,10,47872,0.720
mm_1.bz2,16,8,12,10,47872,8.870
mm_2.bz2,16,8,12,10,47872,19.788
fp_1.bz2,16,8,12,12,56576,1.338
fp_2.bz2,16,8,12,12,56576,3.000
int_1.bz2,16,8,12,12,56576,13.968
int_2.bz2,16,8,12,12,56576,0.717
mm_1.bz2,16,8,12,12,56576,7.323
mm_2.bz2,16,8,12,12,56576,19.223
fp_1.bz2,16,8,14,4,21760,1.422
fp_2.bz2,16,8,14,4,21760,20.163
int_1.bz2,16,8,14,4,21760,19.857
int_2.bz2,16,8,14,4,21760,0.803
mm_1.bz2,16,8,14,4,21760,13.547
mm_2.bz2,16,8,14,4,21760,22.986
fp_1.bz2,16,8,14,6,30464,1.338
fp_2.bz2,16,8,14,6,30464,20.163
int_1.bz2,16,8,14,6,30464,19.662
int_2.bz2,16,8,14,6,30464,0.792
mm_1.bz2,16,8,14,6,30464,13.262
